TAF	Latitude	Longitude
YSHW	-34.00	150.95
YPEC	-33.07	151.65
YARM	-30.53	151.62
YBNA	-28.83	153.56
YSBK	-33.92	150.98
YCAS	-28.88	153.07
YCNK	-32.79	151.34
YCFS	-30.32	153.12
YCBB	-31.33	149.27
YEVD	-29.09	153.42
YGLI	-29.68	151.69
YGFN	-29.76	153.03
YGDH	-30.96	150.25
YIVL	-29.89	151.14
YKMP	-31.07	152.77
YLIS	-28.83	153.26
YMND	-32.70	151.49
YMOR	-29.50	149.84
YMDG	-32.56	149.61
MUI	-31.77	150.83
YNBR	-30.32	149.83
YPMQ	-31.44	152.86
YSRI	-33.60	150.78
YSCO	-32.04	150.83
YSSY	-33.96	151.17
YSTW	-31.09	150.85
YTRE	-31.89	152.51
YWLM	-32.79	151.83
EVHD	-29.18	153.40
MTB	-33.62	150.27
YSHL	-34.56	150.79
YSBC	-33.90	150.73
YBTH	-33.41	149.65
YJBY	-35.14	150.70
YYNG	-34.26	148.25
YSWG	-35.16	147.46
YPKS	-33.13	148.24
YORG	-33.38	149.13
YSNW	-34.93	150.56
MSV	-34.55	150.37
YMRY	-35.90	150.14
YMER	-36.91	149.90
KHAN	-36.23	148.14
YGLB	-34.81	149.73
YCWR	-33.84	148.65
YCTM	-34.62	148.04
YCOM	-36.29	148.97
YSCB	-35.28	149.16
YSCN	-34.04	150.69
YWWL	-33.94	147.19
YWLG	-30.03	148.13
YIVO	-32.88	144.31
YHAY	-34.53	144.83
YGTH	-34.25	146.07
YNYN	-31.55	147.20
YFBS	-33.36	147.93
YSDU	-32.22	148.57
YBKE	-30.04	145.95
YNAR	-34.70	146.51
YCNM	-30.98	148.38
YWCA	-31.53	143.37
YCDO	-33.06	147.21
YCBA	-31.54	145.79
YTEM	-34.42	147.51
YWHC	-30.85	143.07
YBRW	-29.97	146.82
YLHI	-31.54	159.08
YMAY	-36.07	146.95
YWSL	-38.09	146.97
YDLQ	-35.56	144.95
YCOR	-35.99	146.35
YWBL	-38.30	142.45
YMAV	-38.04	144.47
YBNS	-37.89	147.57
YBLT	-37.51	143.79
YBDG	-36.74	144.33
YMES	-38.10	147.13
YMEN	-37.73	144.90
YHML	-37.65	142.07
YHSM	-36.67	142.17
KMG	-37.30	144.98
YLTV	-38.21	146.47
